lat_deg,lon_deg
33.60736079,73.13024634
33.60737331,73.13027697
33.60737275,73.13027839
33.60737185,73.13027859
33.60737274,73.13027843
33.60737291,73.13027786
33.60737380,73.13027714
33.60737502,73.13027626
33.60737621,73.13027666
33.60737809,73.13027519
33.60737911,73.13027375
33.60737240,73.13028548
33.60737551,73.13028423
33.60737510,73.13028663
33.60737523,73.13029008
33.60737595,73.13029089
33.60737679,73.13029236
33.60737778,73.13029340
33.60737779,73.13029463
33.60737553,73.13029306
33.60737476,73.13029333
33.60737558,73.13029427
33.60737637,73.13029329
33.60737671,73.13029378
33.60737723,73.13029319
33.60737777,73.13029458
33.60737751,73.13029452
33.60737757,73.13029458
33.60737814,73.13029388
33.60737987,73.13029356
33.60737874,73.13029548
33.60737851,73.13029643
33.60737853,73.13029719
33.60737940,73.13029906
33.60737845,73.13029933
33.60737868,73.13030056
33.60737853,73.13029993
33.60737974,73.13029811
33.60738053,73.13029767
33.60737742,73.13029760
33.60738911,73.13027172
33.60738793,73.13029603
33.60737417,73.13027616
33.60738896,73.13028482
33.60738921,73.13028503
33.60738907,73.13028549
33.60738963,73.13028257
33.60738749,73.13028289
33.60738726,73.13028154
33.60738893,73.13028173
33.60738882,73.13028049
33.60738876,73.13028016
33.60738848,73.13027868
33.60738898,73.13027607
33.60738810,73.13027491
33.60738830,73.13027470
33.60738840,73.13027477
33.60738808,73.13027708
33.60738680,73.13027694
33.60738587,73.13027752
33.60738440,73.13027800
33.60738471,73.13027519
33.60738587,73.13027449
33.60738368,73.13027514
33.60738410,73.13027539
33.60738462,73.13027653
33.60738492,73.13027620
33.60738662,73.13027638
33.60738606,73.13027554
33.60738413,73.13028629
33.60738230,73.13028754
33.60738176,73.13028840
33.60738042,73.13028879
33.60738030,73.13028776
33.60737890,73.13028741
33.60737998,73.13029089
33.60737957,73.13029134
33.60738024,73.13029117
33.60738029,73.13029185
33.60738017,73.13029169
33.60732408,73.13031881
33.60730968,73.13032168
33.60732183,73.13031921
33.60733428,73.13031826
33.60726239,73.13033763
33.60733157,73.13032671
33.60711280,73.13060316
33.60712636,73.13058627
33.60712680,73.13058077
33.60713147,73.13057456
33.60713413,73.13058023
33.60714727,73.13056516
33.60715902,73.13054526
33.60716701,73.13053406
33.60717922,73.13051984
33.60717657,73.13052302
33.60718743,73.13051537
33.60719861,73.13049270
33.60732954,73.13032022
33.60733250,73.13031637
33.60733081,73.13031799
33.60733013,73.13031951
33.60733294,73.13031997
33.60733182,73.13031924
33.60733292,73.13031923
33.60733183,73.13031999
33.60733179,73.13032209
33.60733209,73.13031997
33.60732301,73.13031981
33.60732540,73.13031871
33.60732877,73.13031726
33.60733067,73.13031705
33.60732784,73.13031719
33.60732445,73.13031645
33.60732421,73.13031757
33.60732350,73.13031981
33.60732342,73.13031963
33.60732368,73.13032022
33.60731809,73.13032374
33.60738922,73.13031271
33.60738574,73.13029878
33.60743008,73.13030169
33.60733006,73.13039124
33.60801676,73.13042762
33.60746509,73.13033480
33.60723526,73.13032987
