lat_deg,lon_deg
33.57861399,73.15122109
33.57859779,73.15123360
33.57858162,73.15124615
33.57856551,73.15125873
33.57860758,73.15155801
33.57859129,73.15157054
33.57853672,73.15157591
33.57852067,73.15158827
33.57850464,73.15160065
33.57848862,73.15161307
33.57847265,73.15162550
33.57845677,73.15163793
33.57844091,73.15165046
33.57837558,73.15171244
33.57835948,73.15172469
33.57834335,73.15173693
33.57832724,73.15174914
33.57831111,73.15176137
33.57827547,73.15176104
33.57825946,73.15177326
33.57824355,73.15178543
33.57822770,73.15179755
33.57821183,73.15180966
33.57819599,73.15182177
33.57818017,73.15183391
33.57815870,73.15185168
33.57814273,73.15186388
33.57813067,73.15187693
33.57811468,73.15188898
33.57809873,73.15190089
33.57808270,73.15191268
33.57806672,73.15192448
33.57805082,73.15193627
33.57803495,73.15194808
33.57801896,73.15195983
33.57800290,73.15197154
33.57798691,73.15198320
33.57797097,73.15199478
33.57795505,73.15200628
33.57793908,73.15201776
33.57792306,73.15202923
33.57790704,73.15204063
33.57789099,73.15205190
33.57786972,73.15207916
33.57785369,73.15209090
33.57783767,73.15210272
33.57782162,73.15211470
33.57780551,73.15212655
33.57778943,73.15213832
33.57777715,73.15211112
33.57776105,73.15212253
33.57774488,73.15213391
33.57772313,73.15216701
33.57770700,73.15217837
33.57769092,73.15218966
33.57767477,73.15220091
33.57765859,73.15221221
33.57764243,73.15222351
33.57762630,73.15223470
33.57761026,73.15224576
33.57759418,73.15225684
33.57757793,73.15226804
33.57756163,73.15227924
33.57754536,73.15229038
33.57752913,73.15230140
33.57751288,73.15231235
33.57749656,73.15232331
33.57748019,73.15233424
33.57746382,73.15234513
33.57744743,73.15235598
33.57743102,73.15236680
33.57741460,73.15237759
33.57739818,73.15238835
33.57738177,73.15239908
33.57736533,73.15240984
33.57734887,73.15242062
33.57733241,73.15243139
33.57731597,73.15244221
33.57729951,73.15245307
33.57728305,73.15246394
33.57726659,73.15247485
33.57725009,73.15248574
33.57723359,73.15249668
33.57721708,73.15250767
33.57720055,73.15251871
33.57718402,73.15252975
33.57716749,73.15254082
33.57715096,73.15255190
33.57713440,73.15256302
33.57711780,73.15257417
33.57710120,73.15258534
33.57708459,73.15259654
33.57706793,73.15260776
33.57705126,73.15261898
33.57703456,73.15263020
33.57701786,73.15264144
33.57700113,73.15265271
33.57698439,73.15266400
33.57696762,73.15267530
33.57695082,73.15268660
33.57693402,73.15269791
33.57691717,73.15270923
33.57690026,73.15272050
33.57688336,73.15273175
33.57686646,73.15274300
33.57684955,73.15275424
33.57683260,73.15276554
33.57681563,73.15277685
33.57679862,73.15278814
33.57678160,73.15279944
33.57676458,73.15281076
33.57674756,73.15282208
33.57673049,73.15283343
33.57671342,73.15284475
33.57669633,73.15285609
33.57667923,73.15286748
33.57666214,73.15287883
33.57664503,73.15289020
33.57662788,73.15290162
33.57660202,73.15290290
33.57658448,73.15291441
33.57656696,73.15292597
33.57654941,73.15293758
33.57653186,73.15294923
33.57651432,73.15296099
33.57649677,73.15297279
33.57647923,73.15298466
33.57646170,73.15299659
