utc,obssec,lat,long,altitude,vel_n(NED),vel_e(NED),vel_d(NED)
2026-02-06 11:19:37.514,472793.400000,33.598275890,73.138898420,433.661,0.028099,-0.017403,0.116373
2026-02-06 11:19:37.638,472793.500000,33.598273720,73.138896130,433.766,0.229668,0.196039,0.208496
2026-02-06 11:19:37.713,472793.600000,33.598276810,73.138899170,433.929,-0.046698,-0.241855,-0.254825
2026-02-06 11:19:37.794,472793.700000,33.598277470,73.138902340,433.696,-0.312390,-0.004490,-0.376261
2026-02-06 11:19:37.905,472793.800000,33.598278630,73.138904940,433.525,0.121553,0.015301,0.123877
2026-02-06 11:19:38.032,472793.900000,33.598283650,73.138913810,432.741,-0.338221,-0.165028,-0.528130
2026-02-06 11:19:38.100,472794.000000,33.598281120,73.138908020,433.458,0.136191,-0.137069,0.190828
2026-02-06 11:19:38.224,472794.100000,33.598281480,73.138905360,433.376,0.468655,0.331614,0.421154
2026-02-06 11:19:38.290,472794.200000,33.598281070,73.138903030,433.533,0.133605,0.207502,0.201963
2026-02-06 11:19:38.415,472794.300000,33.598282410,73.138904410,433.327,0.157458,0.352579,0.035247
2026-02-06 11:19:38.559,472794.400000,33.598284560,73.138909580,432.960,-0.039417,0.007659,0.366336
2026-02-06 11:19:38.608,472794.500000,33.598288500,73.138915460,432.605,-0.076302,-0.245197,-0.155970
2026-02-06 11:19:38.684,472794.600000,33.598286730,73.138910840,432.831,0.178934,0.082357,0.319622
2026-02-06 11:19:38.811,472794.700000,33.598286380,73.138905780,433.334,-0.126550,-0.152997,-0.674579
2026-02-06 11:19:38.921,472794.800000,33.598289580,73.138911230,433.082,0.210752,0.486552,0.251944
2026-02-06 11:19:39.050,472794.900000,33.598289940,73.138910760,433.041,0.228465,0.152653,0.494364
2026-02-06 11:19:39.113,472795.000000,33.598288200,73.138907300,433.211,-0.014382,0.068490,0.560625
2026-02-06 11:19:39.209,472795.100000,33.598286020,73.138904330,433.297,0.095109,0.221930,0.011112
2026-02-06 11:19:39.344,472795.200000,33.598284440,73.138901510,433.567,-0.473168,-0.429389,-0.827902
2026-02-06 11:19:39.403,472795.300000,33.598279770,73.138896350,434.041,0.118634,0.327854,0.142521
2026-02-06 11:19:39.528,472795.400000,33.598280780,73.138897570,434.129,0.285024,0.242536,-0.085955
2026-02-06 11:19:39.671,472795.500000,33.598279140,73.138897510,434.307,0.230508,0.083061,0.149124
2026-02-06 11:19:39.737,472795.600000,33.598275370,73.138893230,434.368,0.481445,0.464568,0.704823
2026-02-06 11:19:39.807,472795.700000,33.598275090,73.138889360,434.449,0.444640,0.341799,0.777395
2026-02-06 11:19:39.972,472795.800000,33.598275920,73.138891270,433.874,-0.063001,0.074010,0.056375
2026-02-06 11:19:40.045,472795.900000,33.598277640,73.138892140,433.953,-0.080892,-0.295557,-0.275306
2026-02-06 11:19:40.104,472796.000000,33.598276660,73.138889280,434.270,0.333833,0.292192,0.154111
2026-02-06 11:19:40.264,472796.100000,33.598256120,73.138854940,437.930,-0.103006,-0.117780,0.410358
2026-02-06 11:19:40.323,472796.200000,33.598257150,73.138855820,437.560,0.018863,-0.077682,0.195626
2026-02-06 11:19:40.392,472796.300000,33.598257610,73.138855410,437.288,0.011959,0.233745,-0.135737
2026-02-06 11:19:40.516,472796.400000,33.598257860,73.138851480,437.707,-0.086930,0.273704,-0.378756
2026-02-06 11:19:40.594,472796.500000,33.598259010,73.138851040,437.794,-0.113633,-0.251271,-0.034650
2026-02-06 11:19:40.734,472796.600000,33.598257990,73.138849980,437.954,0.011245,-0.214509,-0.111405
2026-02-06 11:19:40.894,472796.800000,33.598259070,73.138848100,438.004,0.173469,0.093621,0.369742
2026-02-06 11:19:41.083,472796.900000,33.598260310,73.138849120,437.980,0.009693,-0.134190,0.062690
2026-02-06 11:19:41.115,472797.000000,33.598259830,73.138849950,438.135,0.063279,0.063899,-0.239389
2026-02-06 11:19:41.232,472797.100000,33.598261210,73.138850290,438.135,0.034229,0.225548,-0.077453
2026-02-06 11:19:41.307,472797.200000,33.598261230,73.138848710,438.155,0.124454,0.093907,-0.028834
2026-02-06 11:19:41.432,472797.300000,33.598258940,73.138845300,437.857,0.031826,-0.085324,0.117431
2026-02-06 11:19:41.541,472797.400000,33.598259360,73.138844580,437.719,-0.027775,-0.011034,-0.459798
2026-02-06 11:19:41.668,472797.500000,33.598258190,73.138843380,438.156,0.010308,-0.217215,0.139459
2026-02-06 11:19:41.798,472797.700000,33.598257460,73.138838020,439.005,0.086738,0.102408,0.019116
2026-02-06 11:19:41.910,472797.800000,33.598256690,73.138839840,438.678,-0.016669,-0.016792,0.245277
2026-02-06 11:19:42.057,472797.900000,33.598254550,73.138835310,438.990,-0.027133,0.064549,0.168944
2026-02-06 11:19:42.207,472798.100000,33.598255960,73.138835650,438.787,0.070077,0.050336,-0.441001
2026-02-06 11:19:42.323,472798.200000,33.598255120,73.138835830,438.892,0.018249,0.172542,-0.057259
2026-02-06 11:19:42.455,472798.300000,33.598255890,73.138834760,438.970,0.006198,0.040365,-0.422755
2026-02-06 11:19:42.595,472798.500000,33.598256420,73.138833200,438.813,0.095313,0.017075,0.098359
2026-02-06 11:19:42.865,472798.700000,33.598254490,73.138828920,439.173,-0.034737,-0.102823,0.117400
2026-02-06 11:19:43.032,472798.900000,33.598252990,73.138831030,439.216,0.037762,-0.118573,-0.017959
2026-02-06 11:19:43.168,472799.000000,33.598251290,73.138827870,439.134,0.044997,0.077583,0.225137
2026-02-06 11:19:43.295,472799.200000,33.598250830,73.138828300,439.168,0.048502,-0.059709,0.160276
2026-02-06 11:19:43.412,472799.300000,33.598249420,73.138829610,439.032,-0.055159,-0.113619,-0.346924
2026-02-06 11:19:43.519,472799.400000,33.598250130,73.138833160,439.075,0.010574,-0.019397,0.067986
2026-02-06 11:19:43.614,472799.500000,33.598250160,73.138835340,439.189,0.041880,0.011025,-0.358995
2026-02-06 11:19:43.794,472799.700000,33.598251790,73.138837270,438.990,0.130742,0.327805,-0.204331
2026-02-06 11:19:43.958,472799.800000,33.598252360,73.138836030,438.729,-0.030925,-0.020231,-0.161150
2026-02-06 11:19:44.123,472800.000000,33.598250880,73.138834790,439.036,-0.013999,-0.105048,-0.118062
2026-02-06 11:19:44.261,472800.100000,33.598253050,73.138837500,438.539,-0.159961,0.065824,-0.371050
2026-02-06 11:19:44.378,472800.200000,33.598251780,73.138836320,438.843,0.138900,-0.048074,-0.131484
2026-02-06 11:19:44.506,472800.400000,33.598251830,73.138833030,438.192,0.020757,-0.201783,0.054606
2026-02-06 11:19:44.620,472800.500000,33.598249690,73.138830250,438.862,0.071707,0.175632,0.069002
2026-02-06 11:19:44.777,472800.700000,33.598247940,73.138825240,438.611,0.025659,-0.021768,0.229696
2026-02-06 11:19:44.908,472800.800000,33.598247570,73.138824380,438.482,0.009064,-0.185804,-0.046828
2026-02-06 11:19:45.034,472800.900000,33.598249800,73.138827460,438.369,-0.033156,0.031440,-0.220692
