472866.820000000,33.598262300,73.138975700,464.299987800,0.103669700,0.153465400
472895.485000000,33.598243000,73.138958800,470.000000000,0.097910300,0.144939600
472905.920000000,33.598221800,73.138959200,475.799987800,0.161264000,0.238724000
472906.175000000,33.598224200,73.138960000,475.799987800,0.172782800,0.255775700
472907.175000000,33.598226800,73.138959700,475.299987800,0.103669700,0.153465400
472908.135000000,33.598228500,73.138959200,474.799987800,0.077752300,0.115099100
472909.135000000,33.598232000,73.138959300,474.700012200,0.086391400,0.127887800
472910.135000000,33.598231200,73.138958500,474.000000000,0.141106000,0.208883500
472911.135000000,33.598231500,73.138958000,474.399993900,0.080632000,0.119362000
472912.135000000,33.598231700,73.138958800,474.799987800,0.132466800,0.196094700
472913.135000000,33.598232800,73.138960200,474.799987800,0.112308800,0.166254200
472915.140000000,33.598233800,73.138961800,475.200012200,0.080632000,0.119362000
472916.135000000,33.598233300,73.138961300,475.200012200,0.123827700,0.183305900
472917.135000000,33.598234300,73.138959300,475.200012200,0.129587100,0.191831800
472918.135000000,33.598233000,73.138958500,475.100006100,0.080632000,0.119362000
472919.135000000,33.598230700,73.138958200,475.600006100,0.077752300,0.115099100
472920.130000000,33.598227500,73.138959800,476.200012200,0.129587100,0.191831800
472921.170000000,33.598218700,73.138961200,476.799987800,0.285091600,0.422029900
472922.130000000,33.598221000,73.138963700,477.600006100,0.100790000,0.149202500
472923.185000000,33.598266300,73.139029000,478.100006100,1.456136600,2.305161700
472924.180000000,33.598279500,73.139025700,475.399993900,1.051570800,1.416974300
472925.135000000,33.598283000,73.139023200,473.700012200,0.800638100,0.828795500
472926.145000000,33.598289200,73.139025700,473.399993900,0.813793500,0.726083300
472927.140000000,33.598276300,73.139009800,474.500000000,0.214964300,0.191795600
472928.140000000,33.598275200,73.139007800,475.100006100,0.149707300,0.133571900
472929.140000000,33.598272800,73.139007500,475.299987800,0.049902400,0.044524000
472930.140000000,33.598271300,73.139006700,475.399993900,0.023031900,0.020549500
472931.135000000,33.598272300,73.139006500,475.399993900,0.023031900,0.020549500
472932.135000000,33.598266500,73.139004300,474.899993900,0.092127600,0.082198100
472933.140000000,33.598261700,73.139004000,475.600006100,0.130514000,0.116447300
472934.135000000,33.598262200,73.139003800,476.299987800,0.065257000,0.058223700
472935.175000000,33.598265200,73.139005000,475.799987800,0.084450300,0.075348300
472936.175000000,33.598263200,73.139004200,474.600006100,0.065257000,0.058223700
472937.175000000,33.598262500,73.139002700,474.600006100,0.019193200,0.017124600
472938.175000000,33.598260000,73.139001500,474.299987800,0.072934300,0.065073500
472939.135000000,33.598259200,73.139000800,474.600006100,0.057579700,0.051373800
472940.135000000,33.598258200,73.139000300,474.299987800,0.038386500,0.034249200
472941.140000000,33.598255800,73.138998800,474.000000000,0.076773000,0.068498400
472943.135000000,33.598256200,73.138997000,473.899993900,0.042225100,0.037674100
472944.175000000,33.598251700,73.138994200,473.600006100,0.088288900,0.078773200
472945.140000000,33.598249000,73.138993000,474.299987800,0.080611600,0.071923300
472946.140000000,33.598246000,73.138993200,474.600006100,0.084450300,0.075348300
472947.135000000,33.598242700,73.138991500,475.200012200,0.099804900,0.089048000
472948.140000000,33.598238800,73.138991800,475.700012200,0.080611600,0.071923300
472949.140000000,33.598236200,73.138992000,476.299987800,0.053741100,0.047948900
472950.175000000,33.598233500,73.138991200,476.700012200,0.053741100,0.047948900
472951.135000000,33.598231800,73.138991200,477.200012200,0.042225100,0.037674100
472952.140000000,33.598231000,73.138991300,477.600006100,0.038386500,0.034249200
472953.135000000,33.598228300,73.138990300,477.799987800,0.049902400,0.044524000
472954.135000000,33.598227300,73.138990300,478.399993900,0.015354600,0.013699700
472955.135000000,33.598227000,73.138990300,478.500000000,0.019193200,0.017124600
472956.140000000,33.598229500,73.138991700,478.500000000,0.007677300,0.006849800
472957.140000000,33.598228500,73.138992000,477.700012200,0.057579700,0.051373800
472958.135000000,33.598227800,73.138990500,477.799987800,0.034547800,0.030824300
472959.140000000,33.598225700,73.138989300,477.500000000,0.069095700,0.061648600
472960.135000000,33.598222700,73.138988200,477.700012200,0.084450300,0.075348300
472961.140000000,33.598225200,73.138987200,477.899993900,0.053741100,0.047948900
472962.175000000,33.598222700,73.138985200,477.100006100,0.076773000,0.068498400
472963.135000000,33.598220300,73.138984200,477.299987800,0.095966200,0.085623000
472964.135000000,33.598217300,73.138983300,477.200012200,0.088288900,0.078773200
472965.175000000,33.598213800,73.138983300,477.399993900,0.092127600,0.082198100
472966.140000000,33.598209500,73.138982500,477.600006100,0.122836700,0.109597500
472967.140000000,33.598206800,73.138982200,478.000000000,0.061418400,0.054798700
472968.135000000,33.598203500,73.138981500,478.200012200,0.049902400,0.044524000
472969.135000000,33.598201700,73.138981000,478.500000000,0.034547800,0.030824300
472970.135000000,33.598199700,73.138979800,478.600006100,0.038386500,0.034249200
472971.135000000,33.598198800,73.138978500,478.700012200,0.023031900,0.020549500
472972.135000000,33.598197500,73.138977500,478.700012200,0.038386500,0.034249200
472973.140000000,33.598200200,73.138977000,478.899993900,0.023031900,0.020549500
472974.140000000,33.598198700,73.138976300,478.100006100,0.019193200,0.017124600
472975.140000000,33.598195200,73.138975000,478.100006100,0.099804900,0.089048000
472976.135000000,33.598191300,73.138974700,478.600006100,0.107482200,0.095897800
472977.140000000,33.598192300,73.138974800,479.200012200,0.038386500,0.034249200
472978.135000000,33.598192000,73.138975200,478.899993900,0.046063800,0.041099100
472979.135000000,33.598190200,73.138974700,478.600006100,0.046063800,0.041099100
472980.175000000,33.598187700,73.138973500,478.700012200,0.076773000,0.068498400
472981.135000000,33.598184000,73.138972500,479.100006100,0.069095700,0.061648600
