472866.0000000,33.5982623,73.1389757,464.2999878,0.1036697,0.1534654
472895.0000000,33.5982430,73.1389588,470.0000000,0.0979103,0.1449396
472905.0000000,33.5982218,73.1389592,475.7999878,0.1612640,0.2387240
472906.0000000,33.5982242,73.1389600,475.7999878,0.1727828,0.2557757
472907.0000000,33.5982268,73.1389597,475.2999878,0.1036697,0.1534654
472908.0000000,33.5982285,73.1389592,474.7999878,0.0777523,0.1150991
472909.0000000,33.5982320,73.1389593,474.7000122,0.0863914,0.1278878
472910.0000000,33.5982312,73.1389585,474.0000000,0.1411060,0.2088835
472911.0000000,33.5982315,73.1389580,474.3999939,0.0806320,0.1193620
472912.0000000,33.5982317,73.1389588,474.7999878,0.1324668,0.1960947
472913.0000000,33.5982328,73.1389602,474.7999878,0.1123088,0.1662542
472915.0000000,33.5982338,73.1389618,475.2000122,0.0806320,0.1193620
472916.0000000,33.5982333,73.1389613,475.2000122,0.1238277,0.1833059
472917.0000000,33.5982343,73.1389593,475.2000122,0.1295871,0.1918318
472918.0000000,33.5982330,73.1389585,475.1000061,0.0806320,0.1193620
472919.0000000,33.5982307,73.1389582,475.6000061,0.0777523,0.1150991
472920.0000000,33.5982275,73.1389598,476.2000122,0.1295871,0.1918318
472921.0000000,33.5982187,73.1389612,476.7999878,0.2850916,0.4220299
472922.0000000,33.5982210,73.1389637,477.6000061,0.1007900,0.1492025
472923.0000000,33.5982663,73.1390290,478.1000061,1.4561366,2.3051617
472924.0000000,33.5982795,73.1390257,475.3999939,1.0515708,1.4169743
472925.0000000,33.5982830,73.1390232,473.7000122,0.8006381,0.8287955
472926.0000000,33.5982892,73.1390257,473.3999939,0.8137935,0.7260833
472927.0000000,33.5982763,73.1390098,474.5000000,0.2149643,0.1917956
472928.0000000,33.5982752,73.1390078,475.1000061,0.1497073,0.1335719
472929.0000000,33.5982728,73.1390075,475.2999878,0.0499024,0.0445240
472930.0000000,33.5982713,73.1390067,475.3999939,0.0230319,0.0205495
