11:37.1,454316.1,33.60736079,73.13024634,451.916,-0.034068,-0.040716,-0.035724
11:37.2,454316.2,33.60737331,73.13027697,450.393,0.040325,0.131792,-0.010315
11:37.3,454316.3,33.60737275,73.13027839,450.325,0.089698,0.03567,0.37262
11:37.4,454316.4,33.60737185,73.13027859,450.455,0.041831,0.197939,-0.865545
11:37.5,454316.5,33.60737274,73.13027843,450.301,-0.276769,0.041545,0.150815
11:37.6,454316.6,33.60737291,73.13027786,449.798,-0.021628,-0.031305,-0.167507
11:37.7,454316.7,33.6073738,73.13027714,450.108,-0.007096,0.059691,0.213791
11:37.8,454316.8,33.60737502,73.13027626,450.708,-0.099515,0.061651,0.189526
11:37.9,454316.9,33.60737621,73.13027666,450.883,-0.074415,0.112751,-0.001755
11:38.0,454317,33.60737809,73.13027519,450.196,0.005187,0.150953,-0.123861
11:38.1,454317.1,33.60737911,73.13027375,450.433,0.000264,0.084725,-0.322968
11:38.2,454317.2,33.6073724,73.13028548,452.116,-0.031906,-0.042682,-0.004193
11:38.3,454317.3,33.60737551,73.13028423,451.863,0.045666,-0.16539,-0.005104
11:38.4,454317.4,33.6073751,73.13028663,452.53,-0.025584,0.049957,-0.128098
11:38.5,454317.5,33.60737523,73.13029008,452.244,0.047001,0.060388,0.178632
11:38.6,454317.6,33.60737595,73.13029089,452.175,-0.016567,0.080986,-0.009193
11:38.7,454317.7,33.60737679,73.13029236,452.329,0.001599,0.068841,0.267044
11:38.8,454317.8,33.60737778,73.1302934,451.954,0.210241,-0.057036,-0.242345
11:38.9,454317.9,33.60737779,73.13029463,452.103,-0.051395,0.005672,0.17173
11:39.0,454318,33.60737553,73.13029306,451.835,0.09867,0.045353,0.014491
11:39.1,454318.1,33.60737476,73.13029333,451.781,0.107457,0.023549,0.196698
11:39.2,454318.2,33.60737558,73.13029427,451.523,-0.186099,-0.020599,0.189343
11:39.3,454318.3,33.60737637,73.13029329,450.981,-0.102387,0.108133,-0.216977
11:39.4,454318.4,33.60737671,73.13029378,451.133,-0.038192,0.019061,0.005875
11:39.5,454318.5,33.60737723,73.13029319,451.434,0.092791,0.033464,0.098304
11:39.6,454318.6,33.60737777,73.13029458,451.026,-0.005749,0.109963,-0.178209
11:39.7,454318.7,33.60737751,73.13029452,451.295,-0.059027,-0.052449,0.10581
11:39.8,454318.8,33.60737757,73.13029458,451.228,0.087693,-0.126773,0.14111
11:39.9,454318.9,33.60737814,73.13029388,451.352,0.013187,0.017871,-0.176927
